FID	Area_WHS	Area_SSSI	Area_SPA	Area_SAC	Area_RAMSA	Area_NR	Area_NNR	Area_MPAdi	Area_MCA	Area_LNR	Area_COUNE	Area_CNTRY	Area_BIOSP	Area_BIOGE	Count_WW	Count_Air	Count_Bus	Count_Hotel	Sum_Rating	Count_CarPark	Count_TourOp	Count_train	Mean_Wild	Dist_Motorway	Dist_A_road	Dist_B_road	Dist_min_road	Area_NP	Area_PA	Dist_road	Count_Inf	Dist_Coast	Mean_Nat	Dist_Air	Dist_Bus	Dist_CarPark	Dist_Hotel	Dist_TourOp	Dist_Train	Pop_dens	Pop	PDist	PDist.1	
651	650	0	0	0	99.71394917	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	88.86469345	773.024354	2501.024354	9712.21391	773.024354	0	99.71394917	773.024354	0	0	158.3715499	48764.10585	2548.013213	20049.97622	1656.029109	25637.3802	54402.29028	0	0	0	0
652	651	0	0.599094884	0	0	0	0	0	18.71451085	0	0	0	0	0	0	21	0	6	4	0	0	0	0	60.57714197	0	3848.78609	0	0	0	19.31360573	0	10	0	123.1548524	5548.502483	0	3867.699561	0	4875.869132	43582.44807	12.17464919	979.2259903	40400.88436	40400.88436
653	652	0	0	0	99.59710859	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	94.26441352	4030.689427	12400.83683	9712.480968	4030.689427	0	99.59710859	4030.689427	0	0	166.6673307	39061.65054	5290.247617	28211.20364	4175.130992	23417.22798	62379.83547	0	0	0	0
654	653	0	0	0	0	0	0	0	56.48054806	0	0	0	0	0	0	13	0	11	6	0	0	0	0	39.93512852	0	0	0	0	0	56.48054806	0	15	0	95.2380661	60553.55945	0	13436.92771	0	573.279003	14939.3906	0	0	17247.82422	17247.82422
655	654	0	0.143747517	0	0.557795257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.7528	0	725.8828535	0	0	0.00148398	0.55927916	0	0	14438.16553	204.0234187	29332.00175	1123.01383	11077.60113	669.6706462	7046.704021	12804.89293	8.487315521	848.7315521	23407.62545	23407.62545
656	655	0	33.75458155	0	32.9806311	0	0	0	0	0	0	0	0	0	0	4	0	22	4	0	0	0	1	69.6805375	0	0	0	0	0	34.01404857	0	27	26321.91942	157.7406125	34591.81368	0	2801.405325	0	6701.689583	0	27.0319928	2703.19928	53620.79781	53620.79781
657	656	0	1.197607806	0	0	0	0	0	0	0	0	0	0	0	0	25	0	81	26	16.9	0	0	0	36.5149	0	0	0	0	0	1.197607806	0	107	2171.408142	84.5378875	31137.93371	0	2437.939915	0	9080.386397	1558.156243	83.75459961	8375.459961	30137.47672	30137.47672
658	657	0	1.138942848	0	0	0	0	0	0	0	0	0	0	0	0	3	0	23	4	4	0	0	1	33.32178125	0	0	0	0	0	1.138942848	0	28	1559.421687	74.0598375	37906.18538	0	9267.984768	0	10066.926	0	28.91877106	2891.877106	40757.00863	40757.00863
659	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.56076923	2207.202441	16407.37533	11042.29186	2207.202441	0	0	2207.202441	0	34552.78609	206.5327175	91396.47182	11138.20764	32192.74513	7429.759859	35446.13337	38636.99947	0	0	32699.59776	32699.59776
660	659	0	7.591379634	0.015692564	46.22668497	0	0	0	38.84438156	0	0	0	0	0	0	66	0	11	7	7.7	0	0	0	97.42863154	0	0	0	0	0	46.5304077	0	18	0	187.5542271	65860.73677	0	11401.39341	0	163.3387387	11655.68568	2.203662153	127.4600458	0	0
